Report Date,Equity Share Capital, Reserves , Borrowings , Other Liabilities ,Total Liabilities, Net Block , Capital Work in Progress , Investments , Other Assets , Total , Receivables , Inventory , Cash & Bank , No. of Equity Shares , New Bonus Shares , Face value ,Net Profit
Mar-13,2936,179119,107219,73083,362357,133487,49952,42848,136070,362357,9750,54601,50456,2936308755,,10,20879
Mar-14,2940,195747,138761,91395,428843,141417,91494,60602,135330,428843,9411,56720,37984,2939547231,,10,22493
Mar-15,2943,215556,168251,117736,504486,156458,166462,76451,105115,504486,5315,53248,12545,2943334138,,10,23566
Mar-16,2948,228608,194714,172727,598997,184910,228697,84015,101375,598997,4465,46486,11028,2948021694,,10,29745
Mar-17,2959,260750,217475,225618,706802,198526,324837,82899,100540,706802,8177,48951,3023,2958924277,,10,29901
Mar-18,5922,287584,239843,277924,811273,403885,187022,82862,137504,811273,17555,60837,4255,5921826196,2959863235,10,36075
Mar-19,5926,381186,307714,302804,997630,398374,179463,235635,184158,997630,30089,67561,11081,5925868997,2959863235,10,39588
Mar-20,6339,442827,355133,358716,1163015,532658,109106,276767,244484,1163015,19656,73903,30920,6339267510,,10,39354
Mar-21,6445,693727,278962,340931,1320065,541258,125953,364828,288026,1320065,19014,81672,17397,6762068814,,10,49128
Mar-22,6765,772720,319158,399979,1498622,627798,172506,394264,304054,1498622,23640,107778,36178,6765994014,,10,60705
